Player,Country,Career,Matches,Won,Lost,Tied,Toss
"Dilshan, T M*",Sri Lanka,1999-,26,11 ,15 ,0 ,13 
"Brearley, J M",England,1977-1980,25,15 ,9 ,1 ,11 
"Collingwood, P D",England,2001-2011,25,11 ,12 ,2 ,8 
"Coney, J V",New Zealand,1979-1987,25,8 ,16 ,1 ,13 
Rashid Latif,Pakistan,1992-2003,25,13 ,12 ,0 ,13 
"Gower, D I",England,1978-1991,24,10 ,13 ,1 ,15 
Aamir Sohail,Pakistan,1990-2000,22,9 ,12 ,1 ,7 
Nawroz Mangal*,Afghanistan,2009-,22,12 ,10 ,0 ,11 
Ramiz Raja,Pakistan,1985-1997,22,7 ,13 ,2 ,15 
Younis Khan*,Pakistan,2000-,22,8 ,14 ,0 ,10 
"Karim, A Y A",Kenya,1996-2003,21,6 ,15 ,0 ,8 
"Odumbe, M O",Kenya,1996-2003,20,1 ,18 ,1 ,11 
"Taylor, L R*",New Zealand,2006-,20,6 ,12 ,2 ,10 
