Match,Date,Vs,Ground,How Dismissed,Runs,4s,6s,B/F,S/R
143,06-11-2014,Sri Lanka,Sardar Patel Stadium,c S Randiv b S Prasanna,49,2,2,44,111.36
144,09-11-2014,Sri Lanka,Rajiv Gandhi International Stadium,c P Gamage b T Dilshan,53,4,1,61,86.89
145,13-11-2014,Sri Lanka,Eden Gardens,run out,66,6,0,64,103.13
146,16-11-2014,Sri Lanka,JSCA International Stadium Complex,not out,139*,12,3,126,110.32
147,18-01-2015,Australia,Melbourne Cricket Ground,c G Bailey b J Faulkner,9,0,0,16,56.25
148,20-01-2015,England,Brisbane Cricket Ground,c J Buttler b S Finn,4,0,0,8,50
149,26-01-2015,Australia,Sydney Cricket Ground,not out,3*,0,0,9,33.33
150,30-01-2015,England,WACA Ground,c J Root b M Ali,8,0,0,19,42.11
151,15-02-2015,Pakistan,Adelaide Oval,c Umar Akmal b Sohail Khan,107,8,0,126,84.92
152,22-02-2015,South Africa,Melbourne Cricket Ground,c F du Plessis b Imran Tahir,46,3,0,60,76.67
153,28-02-2015,United Arab Emirates,WACA Ground,not out,33*,5,0,41,80.49
154,06-03-2015,West Indies,WACA Ground,c M Samuels b A Russell,33,5,0,36,91.67
155,10-03-2015,Ireland,Seddon Park,not out,44*,4,1,42,104.76
156,14-03-2015,Zimbabwe,Eden Park,b Sikandar Raza,38,4,0,48,79.17
157,19-03-2015,Bangladesh,Melbourne Cricket Ground,c Mushfiqur Rahim b Rubel Hossain,3,0,0,8,37.5
158,26-03-2015,Australia,Sydney Cricket Ground,c B Haddin b M Johnson,1,0,0,13,7.69
159,18-06-2015,Bangladesh,Shere Bangla National Stadium,c Mushfiqur Rahim b Taskin Ahmed,1,0,0,4,25
160,21-06-2015,Bangladesh,Shere Bangla National Stadium,lbw b Nasir Hossain,23,3,1,27,85.19
161,24-06-2015,Bangladesh,Shere Bangla National Stadium,b Shakib Al Hasan,25,1,0,35,71.43
162,11-10-2015,South Africa,Green Park,c M Morkel b D Steyn,11,0,0,18,61.11
163,14-10-2015,South Africa,Holkar Cricket Stadium,run out,12,0,0,18,66.67
164,18-10-2015,South Africa,Saurashtra Cricket Association Stadium,c D Miller b M Morkel,77,5,0,99,77.78
165,22-10-2015,South Africa,MA Chidambaram Stadium,c Q de Kock b K Rabada,138,6,5,140,98.57
166,25-10-2015,South Africa,Wankhede Stadium,c Q de Kock b K Rabada,7,0,1,6,116.67
