mfname,aum,ret_1yr,ret_2yrs,ret_3yrs,ret_5yrs
UTI India Lifestyle Fund -Direct(G),2.63,0.8,7.5,12.4,--
Kotak Classic Equity - Regular (G),91.3,0.7,7.6,14,11.6
IDBI India Top 100 Equity Fund (G),289.35,0.6,12.6,16.7,--
Sundaram Select Focus - IP (G),0.02,0.4,4.4,12.8,8
Sundaram Select Focus -Direct (G),7.84,0.4,4.5,13,--
UTI India Lifestyle Fund(G) ,439.28,0.3,6.9,11.7,10.5
Sundaram Select Focus - RP (G),524.45,0.2,4,12.5,7.5
DHFL Pramerica BAF -WP (G),0.11,--,8.5,14.4,9.3
HDFC Index - Sensex Plus - Direct,29.98,-0.1,5.1,12.3,--
JM Multi Strategy Fund -Direct (G),0.8,-0.2,11.2,18.7,--
ICICI Pru Select Large Cap Fund - RP (G) ,1205.56,-0.2,7.1,15.5,10.5
DHFL Pramerica BAF - RP (G),80.01,--,8.4,14.4,9.3
Taurus Bonanza Fund -Direct (G),0.25,-0.2,9.4,14.4,--
LIC NOMURA Growth Fund -Direct (G),25.95,-0.3,12.9,16.2,--
Baroda Pioneer Growth -Direct (G),28.83,-0.4,9.2,16.6,--
Reliance Top 200 - Direct (G),183.55,-0.4,11.5,19.5,--
HDFC Index - Sensex Plus Plan ,83.27,-0.4,4.8,12,9.2
UTI Opportunities Fund - Direct (G),1055.82,-0.7,7.8,14.4,--
Baroda Pioneer Growth (G),214.73,-0.9,8.6,15.8,8.5
IDFC Equity Fund - Regular Plan (G) ,235.49,-1,4.5,10.5,8.3
IDFC Equity Fund - Plan B (G) ,0.02,-1,4.5,10.5,8.4
LIC NOMURA Growth Fund (G),95.01,-1.2,11.9,15.4,9.8
UTI Opportunities Fund (G) ,6630.49,-1.4,7,13.5,11.4
Reliance Top 200 Fund-RP (G) ,3460.84,-1.4,10.6,18.6,12.4
IDFC Imperial Equity - Direct (G),7.83,-2,5.3,11.6,--
JM Multi Strategy Fund (G),106.93,-2.1,9.7,17.4,9.7
Reliance Focused Large Cap-Dir (G),31.46,-2.1,7.1,16,--
Taurus Bonanza Fund (G),21.84,-2.6,7.8,13.3,7.5
Reliance Focused Large Cap - RP (G) ,623.37,-2.7,6.4,15.2,10.7
Reliance Quant Plus - RP (G) ,309.51,-2.9,3.1,10.9,7.4
IDFC Imperial Equity - Regular (G) ,94.56,-3.8,3.9,10.5,6.2
IDFC Imperial Equity - Plan B (G) ,2.08,-3.8,3.9,10.5,6.2
Reliance Quant Plus - Direct (G),498.5,-4,2.9,11.4,--
Sundaram Growth Fund -Direct (G),10.54,-5.5,-0.4,8,--
Sundaram Growth Fund - RP (G),329.71,-5.7,-0.9,7.5,4.4
DHFL Pramerica Large Cap Equity -Dir (G),0.91,-16.2,8,9.4,--
DHFL Pramerica Large Cap Equity (G),32.57,-16.7,7.4,8.8,4.4
UTI Master Plus US - Direct (G),0.05,--,--,--,--
UTI Master Plus US (G) ,117.93,--,--,--,--
Reliance Top 200 Fund-IP (G) ,31.94,--,--,--,--
Union KBC Trigger Fund - Sr1-RP (G),7.62,--,--,--,--
Baroda Pioneer Growth - Direct (B),0,--,--,--,--
Union KBC Trigger Fund - Sr1-DP (G),1.55,--,--,--,--
Sundaram Growth Fund - IP (G),0,--,--,--,--
BOI AXA Equity Fund -IP (G),0.43,--,--,--,--
Baroda Pioneer Growth (B),0,--,--,--,--
Reliance Focused Large Cap - IP (G) ,0.54,--,--,--,--
